,sm_smos,sm_smap,sm_tc,sm_gldas,sm_fldas
2008-04-30,,,0.6004749466395106,1.474959981905066,7656.948567924241
2008-05-31,,,0.41985233165492714,1.2237474098861305,6474.849967375359
2008-06-30,,,0.2820246418407906,1.0201452918302323,5491.197509019559
2008-07-31,,,0.20832690835817413,0.8682151437773835,4702.58227858745
2008-08-31,,,0.16751457370112,0.8014293685108165,4317.847959873261
2008-09-30,,,0.1408849658795671,0.7757853125875807,4166.033071736629
2008-10-31,,,0.12497026460611765,0.7875121664923448,4397.9405186980475
2008-11-30,,,0.24415998345216,0.956086790159941,6148.608125212407
2008-12-31,,,0.36397214848060244,1.0351406726393149,6333.127532913502
2009-01-31,,,0.40135858059264007,1.2461542007819282,7078.305122897449
2009-02-28,,,0.7109724864355388,1.3588145766685642,7733.599589563226
2009-03-31,,,0.7006305229679435,1.6528329229123824,8771.06564045687
2009-04-30,,,0.5692912187440188,1.488719574769255,7940.579931968552
2009-05-31,,,0.43853609177690356,1.369071763407577,7428.256465734067
2009-06-30,,,0.3223129610673694,1.1553973250523253,6260.027625255068
2009-07-31,,,0.22312500633720472,0.9402041853575951,5160.014944279232
2009-08-31,,,0.17409320203083295,0.8336435760935258,4555.706201812605
2009-09-30,,,0.14429582796799997,0.7969337766144782,4390.7175184848775
2009-10-31,,,0.18183422280884706,0.8779751810982279,5051.71590290199
2009-11-30,,,0.18884208463390117,0.9802301938900981,5587.734604396284
2009-12-31,,,0.3961546918610823,1.096573365079251,6439.255200855497
2010-01-31,0.4229026092308954,,0.823746263536339,1.4435396710486836,7883.921415763383
2010-02-28,0.4196009784691744,,0.8949408172971671,1.686538900928642,8999.587568407696
2010-03-31,0.3221797820293825,,0.851158913470946,1.7384000961459827,9070.980911102202
2010-04-30,0.23922064757408967,,0.8461345325381271,1.7355518452691747,8995.413392008866
2010-05-31,0.1361434643597189,,0.6827835595306165,1.6133685390320847,8282.046083493891
2010-06-30,0.08315208174654841,,0.4498397147774495,1.3842487894093907,7106.647144527567
2010-07-31,0.05381746896386923,,0.2947526650048753,1.069453534458757,5658.653556231623
2010-08-31,0.039235876907372035,,0.21495110324705885,0.9010415667508033,4850.294245583363
2010-09-30,0.03771625406413941,,0.17201173557609414,0.8439839876998827,4513.21817893626
2010-10-31,0.09782231773154745,,0.2084068724314353,0.8924281981282521,4882.184569465428
2010-11-30,0.28074056463406755,,0.35598482822806593,1.1697095120093335,6702.065709274888
2010-12-31,0.4136928829796252,,0.7141361586706071,1.5954902964860183,8471.188487536494
2011-01-31,0.3829966478876719,,0.7418823697865787,1.836282787996086,9253.618241999686
2011-02-28,0.3249755302683154,,0.8025287975899859,1.8184735327444792,9125.773953020667
2011-03-31,0.4175207012858455,,0.9332041830785507,2.009820979963672,9722.887113479774
2011-04-30,0.25660408932024004,,0.7959025120472847,1.8877179940399555,9393.59926264283
2011-05-31,0.16319469640896067,,0.637941120230099,1.6526385400142962,8372.521042537399
2011-06-30,0.15266597219051614,,0.4618384504000754,1.5126723303216405,7573.286428506443
2011-07-31,0.08714330751101343,,0.30433570520726594,1.1906708878577639,6001.148756202718
2011-08-31,0.04271847313246079,,0.2200141982948894,0.9677311154842454,5054.904415374029
2011-09-30,0.04114662546354005,,0.17468191848327527,0.8695343032844942,4699.342797629906
2011-10-31,0.1334035127101596,,0.1727904610882259,0.9306129571311499,5436.2398368623835
2011-11-30,0.14097193163650126,,0.2547876282934212,0.9670139243348811,5696.774351099925
2011-12-31,0.13615224957979613,,0.24342704709391064,1.011766030365651,5772.9465968282
2012-01-31,0.1847545741693423,,0.541966498300386,1.1540864440742098,6457.703370246623
2012-02-29,0.24195066398835996,,0.5489023614698918,1.3510031083857603,7257.334237807531
2012-03-31,0.24506308719196496,,0.6647076503238776,1.6023660001536375,8199.609758034556
2012-04-30,0.2585276184799002,,0.621935731027727,1.7350931058349683,8766.191221027831
2012-05-31,0.11206605827809438,,0.4506528378036707,1.5200505857901554,7611.209845526958
2012-06-30,0.09249145721630318,,0.3153167134768189,1.208085446721264,6212.150218372995
2012-07-31,0.08266922726396947,,0.22083097013790118,0.9750113674418284,5162.488452189188
2012-08-31,0.07448506705931267,,0.17296520709662117,0.8554341389052984,4579.725476284951
2012-09-30,0.0604167269694814,,0.14376794112602354,0.8077097232288251,4395.4239244266555
