,ORO,TMT,TAB,THD,TFR
2006-01-01,3.44175580788,0.06267558576,0.03335576616,0.01637074656,0.01294907304
2006-02-01,3.71019189288,0.05878272288,0.0299673966,0.01650149544,0.01231383084
2006-03-01,3.57580794732,0.08415787344,0.05487875868,0.01659770688,0.01268140788
2006-04-01,3.86881248696,0.08687276292,0.05811664368,0.01647065844,0.0122854608
2006-05-01,4.2920108406,0.08606976744,0.05704474956,0.01611294924,0.01291206864
2006-06-01,4.28815868256,0.07845672888,0.04892968464,0.0160229052,0.01350413904
2006-07-01,4.01983484424,0.08850712392,0.0591947052,0.0159365616,0.01337585712
2006-08-01,3.71818484328,0.09092844516,0.0612792864,0.01597109904,0.01367805972
2006-09-01,3.49441060212,0.08102483424,0.05177162256,0.01590079068,0.013352421
2006-10-01,3.40402365468,0.06018272268,0.0311268678,0.01592792724,0.01312792764
2006-11-01,3.30534895512,0.07575170724,0.04704739416,0.0158070462,0.01289726688
2006-12-01,3.44472479424,0.05989408836,0.0306889824,0.01589709024,0.01330801572
2007-01-01,3.44703263532,0.08837390808,0.06033197376,0.01549990968,0.01254202464
2007-02-01,3.71192863272,0.07318113492,0.044374443,0.01607347788,0.01273321404
2007-03-01,3.852558921,0.08078553912,0.05140034508,0.0159797334,0.01340546064
2007-04-01,3.79632210084,0.08946923832,0.06003470508,0.01597603296,0.01345850028
2007-05-01,3.6574963938,0.0627409602,0.03354572208,0.01584281712,0.013352421
2007-06-01,3.2610078160800002,0.08127029676,0.05284475016,0.01592792724,0.01249761936
2007-07-01,2.70667573668,0.07658553972,0.04753708572,0.01572563652,0.01332281748
2007-08-01,2.24912373156,0.06880474788,0.039005104560000003,0.01603030608,0.01376933724
2007-09-01,1.93437047256,0.07068333792,0.04160651388,0.01579101096,0.01328581308
2007-10-01,1.78409807112,0.0659665104,0.03679840884,0.0158070462,0.01336105536
2007-11-01,1.57312858584,0.08776333548,0.05782307544,0.01614872016,0.01379153988
2007-12-01,1.51364401284,0.06773902116,0.03743365104,0.01621532808,0.01409004204
2008-01-01,1.6400411754,0.06525232548,0.03546378348,0.01604264088,0.01374590112
2008-02-01,1.78731622044,0.08529760896000001,0.05487875868,0.01624369812,0.01417515216
2008-03-01,2.06830296444,0.07991593572,0.05112281208,0.01572563652,0.01306748712
2008-04-01,2.1056922102,0.08377549464,0.05506994808,0.01586131932,0.01284422724
2008-05-01,2.17772497524,0.06131752428,0.031973035080000003,0.01598343384,0.01336105536
2008-06-01,1.87671638388,0.08348562684,0.0536440452,0.01614872016,0.01369286148
2008-07-01,1.59868382448,0.07892915172000001,0.04938360528,0.01603400652,0.01351153992
2008-08-01,1.39106817132,0.08889196968,0.0590960268,0.01602660564,0.01376933724
2008-09-01,1.3533619212,0.07462307304,0.04576704192,0.0157207026,0.01313532852
2008-10-01,1.26949884948,0.0678537348,0.03823541304,0.01603894044,0.01357938132
2008-11-01,1.23235383276,0.07182060648000001,0.04236510408,0.01595136336,0.01350413904
2008-12-01,1.21016969496,0.07316139924,0.0445471302,0.01574043828,0.01287383076
2009-01-01,1.25847277176,0.07623153096,0.04598660136,0.01622396244,0.01402096716
2009-02-01,1.67823711708,0.08200298388,0.05402272356,0.01544563656,0.01253462376
2009-03-01,2.4394472286,0.0692352324,0.04156457556,0.015356826,0.01231383084
2009-04-01,2.53491488016,0.08578606704,0.05689919892,0.01583418276,0.01305268536
