,outflow_km3
2007-04-01,0.010365878873087998
2007-05-01,0.0028074255281280006
2007-06-01,0.0025542359579520005
2007-07-01,0.0046616667920639995
2007-08-01,0.003924438337728001
2007-09-01,0.0010723322972160001
2007-10-01,0.0009531842641920001
2007-11-01,0.0012138205864320002
2007-12-01,0.0016829659664640002
2008-01-01,0.001988282801088
2008-02-01,0.038119923815616
2008-03-01,0.017395612821504
2008-04-01,0.007871216931648
2008-05-01,0.0029489138173440003
2008-06-01,0.0029191268090880008
2008-07-01,0.001615945197888
2008-08-01,0.011177574848064
2008-09-01,0.0059127211388160005
2008-10-01,0.001176586826112
2008-11-01,0.000938290760064
2008-12-01,0.000982971272448
2009-01-01,0.0010797790492800001
2009-02-01,0.0012733946029440002
2009-03-01,0.052507048803264
2009-04-01,0.032117841652032
2009-05-01,0.03176039755296
2009-06-01,0.0034403994535680002
2009-07-01,0.007372284543360001
2009-08-01,0.0085637648736
2009-09-01,0.006076549684224
2009-10-01,0.0013478621235840003
2009-11-01,0.001236160842624
2009-12-01,0.001131906313728
2010-01-01,0.0013031816112000002
2010-02-01,0.00443081747808
2010-03-01,0.0282976578432
2010-04-01,0.046817730226368
2010-05-01,0.035729516403072
2010-06-01,0.011795655269376001
2010-07-01,0.007424411807808
2010-08-01,0.007893557187840001
2010-09-01,0.00134041537152
2010-10-01,0.0010276517848320003
2010-11-01,0.011043533310912002
2010-12-01,0.17082849234816
2011-01-01,0.09755245203840002
2011-02-01,0.11237148864576
2011-03-01,0.27270006058368
2011-04-01,0.13113730384704
2011-05-01,0.057146375339136
2011-06-01,0.024641302579776002
2011-07-01,0.0033510384288
2011-08-01,0.0015638179334399999
2011-09-01,0.0014967971648640003
2011-10-01,0.0013850958839040002
2011-11-01,0.001102119305472
2011-12-01,0.001124459561664
2012-01-01,0.0010723322972160001
2012-02-01,0.000975524520384
2012-03-01,0.10455239897856
2012-04-01,0.13352026450752
2012-05-01,0.019815807242304
2012-06-01,0.0022787061315840003
2012-07-01,0.0010946725534079999
2012-08-01,0.001236160842624
2012-09-01,0.001176586826112
2012-10-01,0.0008489297352960001
2012-11-01,0.00119148033024
2012-12-01,0.08764827179328001
2013-01-01,0.05923891266912001
2013-02-01,0.04581241869772801
2013-03-01,0.015653072838528
2013-04-01,0.005302087469568
2013-05-01,0.0026138099744640003
2013-06-01,0.002963807321472
2013-07-01,0.004378690213631999
2013-08-01,0.003931885089792
2013-09-01,0.0009680777683200001
2013-10-01,0.001243607594688
2013-11-01,0.00104254528896
2013-12-01,0.0009680777683200001
2014-01-01,0.001020205032768
2014-02-01,0.001169140074048
2014-03-01,0.0011989270823040002
2014-04-01,0.027634896909504002
2014-05-01,0.0025840229662080004
2014-06-01,0.002062750321728
2014-07-01,0.007670154625920001
2014-08-01,0.009837159476544
2014-09-01,0.0038574175691519995
2014-10-01,0.0006932926171584001
2014-11-01,0.001184033578176
2014-12-01,0.002167004850624
2015-01-01,0.0009531842641920001
2015-02-01,0.020865799283328
2015-03-01,0.005503149775296001
2015-04-01,0.002092537329984
2015-05-01,0.0021893451068159997
2015-06-01,0.002263812627456
2015-07-01,0.00629250549408
2015-08-01,0.008236107782784
2015-09-01,0.002636150230656
2015-10-01,0.0011542465699200001
2015-11-01,0.0010574387930880002
2015-12-01,0.001087225801344
2016-01-01,0.056237871587328014
2016-02-01,0.06657396345216
2016-03-01,0.19629638440704
2016-04-01,0.048917714308415995
2016-05-01,0.0027329580074880004
2016-06-01,0.0022935996357120003
2016-07-01,0.001184033578176
2016-08-01,0.0013999893880320003
2016-09-01,0.000915950503872
2016-10-01,0.0012138205864320002
2016-11-01,0.0010574387930880002
2016-12-01,0.09368014096512
2017-01-01,0.33234854461632
2017-02-01,0.38261412104832004
2017-03-01,0.1493073788832
2017-04-01,0.17671142647872
2017-05-01,0.04086032857516801
2017-06-01,0.011490338434752003
2017-07-01,0.0018616880160000002
2017-08-01,0.0016382854540800001
2017-09-01,0.0010723322972160001
2017-10-01,0.001325521867392
2017-11-01,0.001615945197888
2017-12-01,0.053117682472512
2018-01-01,0.04818793260614401
