"","year","GWS_ss","GWS_sy","GWS_avg"
"80",2008-08-15,-0.000316876700765371,-1.60804177724276,-0.804179326971763
"81",2008-09-15,-0.00027614100157055,-1.37218583690719,-0.68623098895438
"82",2008-10-15,-0.0002682644659278,-1.35135404012112,-0.675811152293524
"83",2008-11-15,-0.000245667658727868,-1.22746588720247,-0.613855777430599
"84",2008-12-15,-0.000259788361149457,-1.33412434648547,-0.66719206742331
"85",2009-01-15,-0.000239316895107056,-1.22912938412764,-0.614684350511374
"86",2009-02-15,-0.00024346057198451,-1.25483772974217,-0.627540595157077
"87",2009-03-15,-0.000299994103165988,-1.5307239183623,-0.765511956232733
"88",2009-04-15,-0.000307598762273651,-1.53780587469784,-0.769056736730057
"89",2009-05-15,-0.000332137541239265,-1.65710758647585,-0.828719862008545
"90",2009-06-15,-0.000335471433735164,-1.63074845124608,-0.815541961339908
"91",2009-07-15,-0.000386600487861493,-1.93328425024247,-0.966835425365166
"92",2009-08-15,-0.000397962705499798,-1.98163904258202,-0.99101850264376
"93",2009-09-15,-0.000416217171611164,-2.09947806837822,-1.04994714277492
"94",2009-10-15,-0.000411263608485166,-2.1072934770459,-1.05385237032719
"95",2009-11-15,-0.000308662126696231,-1.56365093812426,-0.781979800125478
"96",2009-12-15,-0.000301122802688843,-1.55563909003952,-0.777970106421104
"97",2010-01-15,-0.000317096041741923,-1.66802787831586,-0.834172487178801
"98",2010-02-15,-0.000362563880388156,-1.93053311956718,-0.965447841723784
"99",2010-03-15,-0.000337144616773656,-1.76206080322567,-0.881198973921222
"100",2010-04-15,-0.000329020814861865,-1.68305926077518,-0.841694140795021
"101",2010-05-15,-0.000361560849531567,-1.85305794936204,-0.926709755105786
"102",2010-06-15,-0.000368593724793388,-1.85880565909769,-0.929587126411242
"103",2010-07-15,-0.00040003519287745,-2.05281914617812,-1.0266095906855
"104",2010-08-15,-0.000425235445587102,-2.18958411252051,-1.09500467398305
"105",2010-09-15,-0.000394055507825346,-2.0399276409229,-1.02016084821536
"106",2010-10-15,-0.000335858603006599,-1.7328668385223,-0.866601348562653
"107",2010-11-15,-0.000324900174332566,-1.70006616341822,-0.850195531796276
"108",2010-12-15,-0.000284341307033768,-1.50370139154633,-0.751992866426682
"109",2011-01-15,-0.000270134968805151,-1.41776119113109,-0.709015663049948
"110",2011-02-15,-0.000267798800153502,-1.43660960714197,-0.718438702971062
"111",2011-03-15,-0.000243315818452858,-1.28270033881034,-0.641471827314396
"112",2011-04-15,-0.000208841651311812,-1.07416145495489,-0.537185148303101
"113",2011-05-15,-0.000241167459232686,-1.23269671113083,-0.616468939295031
"114",2011-06-15,-0.000241802942097597,-1.22087081277849,-0.610556307860294
"115",2011-07-15,-0.00024551957795829,-1.21761148543499,-0.608928502506474
"116",2011-08-15,-0.000289923815001785,-1.45940197818645,-0.729845951000726
"117",2011-09-15,-0.000285503760630711,-1.42662526776899,-0.71345538576481
"118",2011-10-15,-0.000304339741031684,-1.51625427583722,-0.758279307789126
"119",2011-11-15,-0.000295604693910369,-1.45624726381867,-0.72827143425629
"120",2011-12-15,-0.000302275371186396,-1.49775259079029,-0.749027433080738
"121",2012-01-15,-0.000294306456178757,-1.44459443057692,-0.722444368516549
"122",2012-02-15,-0.000339783788643919,-1.70026677612769,-0.850303279958167
"123",2012-03-15,-0.000338079059199355,-1.68263142605917,-0.841484752559185
"124",2012-04-15,-0.000325306502029908,-1.58182596276091,-0.79107563463147
"125",2012-05-15,-0.000338735951750119,-1.64603434248024,-0.823186539215995
"126",2012-06-15,-0.000309843288986024,-1.46430714908528,-0.732308496187133
"127",2012-07-15,-0.000353345593231284,-1.70657152267256,-0.853462434132896
